DEPARTAMENTO;CATEGORIA;PORCENTAJE;SUCURSAL;AÑO
PERSIANAS Y MOSQUITEROS;CORTINAS;0,01%;CATIA;2026
PERSIANAS Y MOSQUITEROS;CORTINAS MOTORIZADAS: TRADICIONAL Y ONDA PERFECTA;0,00%;CATIA;2026
PERSIANAS Y MOSQUITEROS;TOLDOS;0,01%;CATIA;2026
LAMINAS;LÁMINAS DE POLICARBONATO;6,24%;CATIA;2026
LAMINAS;DRYWALL;1,46%;CATIA;2026
LAMINAS;LAMINAS DE ALUMINIO Y ALUCOBOND;1,85%;CATIA;2026
LAMINAS;ILUMINACION;0,06%;CATIA;2026
SERVICIOS;SERVICIO DE CANTO PULIDO;0,24%;CATIA;2026
SERVICIOS;SERVICIO DE FLETE;0,83%;CATIA;2026
SERVICIOS;SERVICIO DE CORTE Y MECANIZADO;0,42%;CATIA;2026
SERVICIOS;CURRIER;0,00%;CATIA;2026
SERVICIOS;PERFORACIONES DE VIDRIO;0,00%;CATIA;2026
SERVICIOS;PERFORACIONES;0,00%;CATIA;2026
PT CON INSTALACION;PT ALUMINIO Y VIDRIO;8,46%;CATIA;2026
PT CON INSTALACION;PT PERSIANAS;0,78%;CATIA;2026
PT CON INSTALACION;PT TEMPLADO;1,57%;CATIA;2026
#N/D;#N/D;0,00%;CATIA;2026
#N/D;TOLDOS: EXTENSIBLES Y VERTICALES;0,00%;CATIA;2026
#N/D;GENERAL;0,04%;CATIA;2026
#N/D;GRANEL;0,27%;CATIA;2026
#N/D;CONSUMIBLES PARA FABRICACION;0,01%;CATIA;2026
#N/D;MANTENIMIENTO DE INFRAESTRUCTURA;0,01%;CATIA;2026
#N/D;PAPELERIA;0,00%;CATIA;2026
#N/D;TEMPLADO Y MECANIZADO;0,00%;CATIA;2026
#N/D;ARTILUGIO CONTABLE;0,01%;CATIA;2026
PAPEL NANO.;PAPEL NANOCERAMICO;0,07%;CATIA;2026
MUESTRAS Y CATALOGOS;CATALOGOS;0,00%;CATIA;2026
MUESTRAS Y CATALOGOS;MUESTRAS Y CODOS;0,00%;CATIA;2026
CARPINTERIA;VITRINA PARA MUEBLES;0,12%;CATIA;2026
SERVICIOS EXTERNOS;CURRIER;0,00%;CATIA;2026
VENTANAS Y PUERTAS CORREDIZAS;VENTANA Y PUERTA PANORAMICA;7,86%;LA GUAIRA;2026
VENTANAS Y PUERTAS CORREDIZAS;VENTANA Y PUERTA CARONI;3,42%;LA GUAIRA;2026
VENTANAS Y PUERTAS CORREDIZAS;VENTANA BELGLASS;0,50%;LA GUAIRA;2026
VENTANAS Y PUERTAS CORREDIZAS;VENTANA VISTAGLASS;0,24%;LA GUAIRA;2026
VENTANAS Y PUERTAS CORREDIZAS;VENTANA Y PUERTA CORREDERA SERIE 1000;2,07%;LA GUAIRA;2026
VENTANAS Y PUERTAS CORREDIZAS;PUERTA DE VITRINA;0,25%;LA GUAIRA;2026
VENTANAS Y PUERTAS CORREDIZAS;VENTANA ECOBEL;0,05%;LA GUAIRA;2026
VENTANAS Y PUERTAS CORREDIZAS;VENTANA Y PUERTA AMPLITUD;0,05%;LA GUAIRA;2026
VENTANAS ABATIBLES;VENTANA PROYECTANTE COMERCIAL;0,40%;LA GUAIRA;2026
VENTANAS ABATIBLES;VENTANA PROYECTANTE LONDON;0,12%;LA GUAIRA;2026
VENTANAS ABATIBLES;VENTANA PIVOTANTE;0,03%;LA GUAIRA;2026
VENTANAS ABATIBLES;PIVOTANTE;0,00%;LA GUAIRA;2026
DIVISIONES DE AMBIENTE;PAÑO FIJO;4,76%;LA GUAIRA;2026
DIVISIONES DE AMBIENTE;ROMANILLA;0,41%;LA GUAIRA;2026
DIVISIONES DE AMBIENTE;ROMANILLAS;0,00%;LA GUAIRA;2026
DIVISIONES DE AMBIENTE;CURTAIN WALL JUNTA POSITIVA Y JUNTA NEGATIVA;0,00%;LA GUAIRA;2026
PERFILES ESTANDAR;ANGULOS Y PLETINAS;6,35%;LA GUAIRA;2026
PERFILES ESTANDAR;TUBOS RECTANGULARES UES TES Y REMATES;6,11%;LA GUAIRA;2026
PERFILES ESTANDAR;TUBOS CUADRADOS Y REDONDOS;3,20%;LA GUAIRA;2026
PRODUCTOS ESTANDAR;VENTANAS ECO;0,74%;LA GUAIRA;2026
