DEPARTAMENTO;CATEGORIA;PORCENTAJE;SUCURSAL;AÑO
PUERTAS DE BAÑO;PUERTA DE DUCHA  BATIENTE;0,64%;MARICHE;2026
PUERTAS DE BAÑO;TABIQUE DE BAÑOS MACHIMBRADO;0,78%;MARICHE;2026
PUERTAS DE BAÑO;PUERTA DE BAÑO TEMPLEX;0,30%;MARICHE;2026
PUERTAS DE BAÑO;PUERTA DE BAÑO ACRILICO;0,19%;MARICHE;2026
PUERTAS DE BAÑO;PUERTA DE DUCHA SLIDER TUBO RECTANGULAR;0,37%;MARICHE;2026
PUERTAS DE BAÑO;PUERTA SLIDER TUBO REDONDO;0,14%;MARICHE;2026
PUERTAS DE BAÑO;PUERTA DE DUCHA SLIDER TUBO RECTANGULAR PLUS;0,09%;MARICHE;2026
VIDRIOS;VIDRIO MONOLITICO;20,63%;MARICHE;2026
VIDRIOS;VIDRIO LAMINADO Y ESPECIALES;1,34%;MARICHE;2026
SIL Y SELL;SILICONES Y SELLADORES SIMBI;2,31%;MARICHE;2026
HERRAMIENTAS;HERRAMIENTAS HOTECHE;0,27%;MARICHE;2026
HERRAMIENTAS;HERRAMIENTAS HARDEN;0,07%;MARICHE;2026
HERRAMIENTAS;HERRAMIENTAS;0,02%;MARICHE;2026
IMPULSO;TORNILLOS Y RAMPLUGS;0,32%;MARICHE;2026
IMPULSO;REMACHES;0,01%;MARICHE;2026
IMPULSO;MECHAS Y PUNTAS;0,09%;MARICHE;2026
IMPULSO;SILICONES DE IMPULSO;0,07%;MARICHE;2026
IMPULSO;REGATONES;0,00%;MARICHE;2026
IMPULSO;SPRAY;0,02%;MARICHE;2026
CERRADURAS Y CANDADOS;CERRADURAS Y CANDADO;0,12%;MARICHE;2026
CERRADURAS Y CANDADOS;CERRADURAS Y CANDADO CISA;0,00%;MARICHE;2026
PERSIANAS Y MOSQUITEROS;PERSIANA ROLLER;3,96%;MARICHE;2026
PERSIANAS Y MOSQUITEROS;PERSIANA SHEER;1,56%;MARICHE;2026
PERSIANAS Y MOSQUITEROS;MOSQUITERO ROLLER - MOSQUITERO FIJO;0,41%;MARICHE;2026
PERSIANAS Y MOSQUITEROS;CORTINAS;0,00%;MARICHE;2026
PERSIANAS Y MOSQUITEROS;CORTINAS MOTORIZADAS: TRADICIONAL Y ONDA PERFECTA;0,00%;MARICHE;2026
PERSIANAS Y MOSQUITEROS;TOLDOS;0,00%;MARICHE;2026
LAMINAS;LÁMINAS DE POLICARBONATO;4,37%;MARICHE;2026
LAMINAS;DRYWALL;1,30%;MARICHE;2026
LAMINAS;LAMINAS DE ALUMINIO Y ALUCOBOND;2,74%;MARICHE;2026
LAMINAS;ILUMINACION;0,02%;MARICHE;2026
SERVICIOS;SERVICIO DE CANTO PULIDO;0,23%;MARICHE;2026
SERVICIOS;SERVICIO DE FLETE;0,41%;MARICHE;2026
SERVICIOS;SERVICIO DE CORTE Y MECANIZADO;0,23%;MARICHE;2026
SERVICIOS;CURRIER;0,00%;MARICHE;2026
SERVICIOS;PERFORACIONES DE VIDRIO;0,00%;MARICHE;2026
SERVICIOS;PERFORACIONES;0,00%;MARICHE;2026
PT CON INSTALACION;PT ALUMINIO Y VIDRIO;11,32%;MARICHE;2026
PT CON INSTALACION;PT PERSIANAS;2,00%;MARICHE;2026
PT CON INSTALACION;PT TEMPLADO;3,14%;MARICHE;2026
#N/D;#N/D;0,00%;MARICHE;2026
#N/D;TOLDOS: EXTENSIBLES Y VERTICALES;0,00%;MARICHE;2026
#N/D;GENERAL;0,07%;MARICHE;2026
#N/D;GRANEL;0,22%;MARICHE;2026
#N/D;CONSUMIBLES PARA FABRICACION;0,00%;MARICHE;2026
#N/D;MANTENIMIENTO DE INFRAESTRUCTURA;0,00%;MARICHE;2026
#N/D;PAPELERIA;0,00%;MARICHE;2026
#N/D;TEMPLADO Y MECANIZADO;0,00%;MARICHE;2026
#N/D;ARTILUGIO CONTABLE;0,05%;MARICHE;2026
PAPEL NANO.;PAPEL NANOCERAMICO;0,06%;MARICHE;2026
MUESTRAS Y CATALOGOS;CATALOGOS;0,01%;MARICHE;2026
MUESTRAS Y CATALOGOS;MUESTRAS Y CODOS;0,00%;MARICHE;2026
CARPINTERIA;VITRINA PARA MUEBLES;0,12%;MARICHE;2026
SERVICIOS EXTERNOS;CURRIER;0,00%;MARICHE;2026
VENTANAS Y PUERTAS CORREDIZAS;VENTANA Y PUERTA PANORAMICA;1,44%;ALUMINIOLOGO WEB;2026
VENTANAS Y PUERTAS CORREDIZAS;VENTANA Y PUERTA CARONI;0,46%;ALUMINIOLOGO WEB;2026
VENTANAS Y PUERTAS CORREDIZAS;VENTANA BELGLASS;0,00%;ALUMINIOLOGO WEB;2026
VENTANAS Y PUERTAS CORREDIZAS;VENTANA VISTAGLASS;0,00%;ALUMINIOLOGO WEB;2026
VENTANAS Y PUERTAS CORREDIZAS;VENTANA Y PUERTA CORREDERA SERIE 1000;0,18%;ALUMINIOLOGO WEB;2026
VENTANAS Y PUERTAS CORREDIZAS;PUERTA DE VITRINA;0,06%;ALUMINIOLOGO WEB;2026
VENTANAS Y PUERTAS CORREDIZAS;VENTANA ECOBEL;0,00%;ALUMINIOLOGO WEB;2026
VENTANAS Y PUERTAS CORREDIZAS;VENTANA Y PUERTA AMPLITUD;0,00%;ALUMINIOLOGO WEB;2026
VENTANAS ABATIBLES;VENTANA PROYECTANTE COMERCIAL;0,26%;ALUMINIOLOGO WEB;2026
VENTANAS ABATIBLES;VENTANA PROYECTANTE LONDON;0,00%;ALUMINIOLOGO WEB;2026
VENTANAS ABATIBLES;VENTANA PIVOTANTE;0,00%;ALUMINIOLOGO WEB;2026
VENTANAS ABATIBLES;PIVOTANTE;0,00%;ALUMINIOLOGO WEB;2026
DIVISIONES DE AMBIENTE;PAÑO FIJO;9,56%;ALUMINIOLOGO WEB;2026
DIVISIONES DE AMBIENTE;ROMANILLA;0,00%;ALUMINIOLOGO WEB;2026
DIVISIONES DE AMBIENTE;ROMANILLAS;0,00%;ALUMINIOLOGO WEB;2026
DIVISIONES DE AMBIENTE;CURTAIN WALL JUNTA POSITIVA Y JUNTA NEGATIVA;1,16%;ALUMINIOLOGO WEB;2026
PERFILES ESTANDAR;ANGULOS Y PLETINAS;1,00%;ALUMINIOLOGO WEB;2026
PERFILES ESTANDAR;TUBOS RECTANGULARES UES TES Y REMATES;1,65%;ALUMINIOLOGO WEB;2026
PERFILES ESTANDAR;TUBOS CUADRADOS Y REDONDOS;0,02%;ALUMINIOLOGO WEB;2026
PRODUCTOS ESTANDAR;VENTANAS ECO;0,00%;ALUMINIOLOGO WEB;2026
PRODUCTOS ESTANDAR;ESPEJOS ECO;1,10%;ALUMINIOLOGO WEB;2026
PRODUCTOS ESTANDAR;PUERTAS DE DUCHA ECO;0,00%;ALUMINIOLOGO WEB;2026
PRODUCTOS ESTANDAR;PUERTAS ECO;0,00%;ALUMINIOLOGO WEB;2026
PRODUCTOS ESTANDAR;PERSIANAS ECO;0,09%;ALUMINIOLOGO WEB;2026
PRODUCTOS ESTANDAR;TOLDO ECO;0,00%;ALUMINIOLOGO WEB;2026
PUERTAS EXTERIORES;PUERTA BATIENTE ENMARCADA;0,64%;ALUMINIOLOGO WEB;2026
PUERTAS EXTERIORES;PUERTA BANCARIA TIPO P;0,08%;ALUMINIOLOGO WEB;2026
PUERTAS EXTERIORES;VENTANA Y PUERTA SANARE;0,00%;ALUMINIOLOGO WEB;2026
PUERTAS INTERIORES;SISTEMA PUERTA TODOVISION;0,01%;ALUMINIOLOGO WEB;2026
PUERTAS INTERIORES;SISTEMA PUERTA PLEGABLE;0,00%;ALUMINIOLOGO WEB;2026
PUERTAS INTERIORES;PLEGABLE;0,00%;ALUMINIOLOGO WEB;2026
PUERTAS INTERIORES;SISTEMA PUERTA TODOVISION SUPERFICIAL;0,00%;ALUMINIOLOGO WEB;2026
PUERTAS INTERIORES;SISTEMA PUERTA MINI EURO PIVOT;0,00%;ALUMINIOLOGO WEB;2026
PUERTAS INTERIORES;SISTEMA PUERTA EURO PIVOT;0,00%;ALUMINIOLOGO WEB;2026
BARANDAS;BARANDA BASTONES A PRESION;0,00%;ALUMINIOLOGO WEB;2026
BARANDAS;BARANDA SEPARADORES;0,00%;ALUMINIOLOGO WEB;2026
BARANDAS;BARANDA INOX;0,00%;ALUMINIOLOGO WEB;2026
BARANDAS;BARANDA ZOCALO;0,00%;ALUMINIOLOGO WEB;2026
BARANDAS;BARANDA BASTONES PERFORACION;0,00%;ALUMINIOLOGO WEB;2026
PUERTAS DE BAÑO;PUERTA DE DUCHA  BATIENTE;0,38%;ALUMINIOLOGO WEB;2026
PUERTAS DE BAÑO;TABIQUE DE BAÑOS MACHIMBRADO;0,00%;ALUMINIOLOGO WEB;2026
PUERTAS DE BAÑO;PUERTA DE BAÑO TEMPLEX;0,01%;ALUMINIOLOGO WEB;2026
PUERTAS DE BAÑO;PUERTA DE BAÑO ACRILICO;0,00%;ALUMINIOLOGO WEB;2026
PUERTAS DE BAÑO;PUERTA DE DUCHA SLIDER TUBO RECTANGULAR;0,02%;ALUMINIOLOGO WEB;2026
PUERTAS DE BAÑO;PUERTA SLIDER TUBO REDONDO;0,00%;ALUMINIOLOGO WEB;2026
PUERTAS DE BAÑO;PUERTA DE DUCHA SLIDER TUBO RECTANGULAR PLUS;0,00%;ALUMINIOLOGO WEB;2026
VIDRIOS;VIDRIO MONOLITICO;8,90%;ALUMINIOLOGO WEB;2026
VIDRIOS;VIDRIO LAMINADO Y ESPECIALES;1,97%;ALUMINIOLOGO WEB;2026
SIL Y SELL;SILICONES Y SELLADORES SIMBI;0,58%;ALUMINIOLOGO WEB;2026
HERRAMIENTAS;HERRAMIENTAS HOTECHE;0,02%;ALUMINIOLOGO WEB;2026
HERRAMIENTAS;HERRAMIENTAS HARDEN;0,00%;ALUMINIOLOGO WEB;2026
HERRAMIENTAS;HERRAMIENTAS;0,03%;ALUMINIOLOGO WEB;2026
IMPULSO;TORNILLOS Y RAMPLUGS;0,03%;ALUMINIOLOGO WEB;2026
IMPULSO;REMACHES;0,01%;ALUMINIOLOGO WEB;2026
IMPULSO;MECHAS Y PUNTAS;0,00%;ALUMINIOLOGO WEB;2026
IMPULSO;SILICONES DE IMPULSO;0,00%;ALUMINIOLOGO WEB;2026
IMPULSO;REGATONES;0,00%;ALUMINIOLOGO WEB;2026
IMPULSO;SPRAY;0,00%;ALUMINIOLOGO WEB;2026
CERRADURAS Y CANDADOS;CERRADURAS Y CANDADO;0,00%;ALUMINIOLOGO WEB;2026
CERRADURAS Y CANDADOS;CERRADURAS Y CANDADO CISA;0,00%;ALUMINIOLOGO WEB;2026
PERSIANAS Y MOSQUITEROS;PERSIANA ROLLER;45,13%;ALUMINIOLOGO WEB;2026
PERSIANAS Y MOSQUITEROS;PERSIANA SHEER;12,64%;ALUMINIOLOGO WEB;2026
PERSIANAS Y MOSQUITEROS;MOSQUITERO ROLLER - MOSQUITERO FIJO;0,27%;ALUMINIOLOGO WEB;2026
PERSIANAS Y MOSQUITEROS;CORTINAS;0,02%;ALUMINIOLOGO WEB;2026
PERSIANAS Y MOSQUITEROS;CORTINAS MOTORIZADAS: TRADICIONAL Y ONDA PERFECTA;0,00%;ALUMINIOLOGO WEB;2026
PERSIANAS Y MOSQUITEROS;TOLDOS;0,00%;ALUMINIOLOGO WEB;2026
LAMINAS;LÁMINAS DE POLICARBONATO;6,61%;ALUMINIOLOGO WEB;2026
LAMINAS;DRYWALL;0,77%;ALUMINIOLOGO WEB;2026
LAMINAS;LAMINAS DE ALUMINIO Y ALUCOBOND;1,06%;ALUMINIOLOGO WEB;2026
LAMINAS;ILUMINACION;0,00%;ALUMINIOLOGO WEB;2026
SERVICIOS;SERVICIO DE CANTO PULIDO;0,00%;ALUMINIOLOGO WEB;2026
SERVICIOS;SERVICIO DE FLETE;2,20%;ALUMINIOLOGO WEB;2026
SERVICIOS;SERVICIO DE CORTE Y MECANIZADO;0,12%;ALUMINIOLOGO WEB;2026
SERVICIOS;CURRIER;0,05%;ALUMINIOLOGO WEB;2026
SERVICIOS;PERFORACIONES DE VIDRIO;0,00%;ALUMINIOLOGO WEB;2026
SERVICIOS;PERFORACIONES;0,00%;ALUMINIOLOGO WEB;2026
PT CON INSTALACION;PT ALUMINIO Y VIDRIO;1,36%;ALUMINIOLOGO WEB;2026
PT CON INSTALACION;PT PERSIANAS;0,00%;ALUMINIOLOGO WEB;2026
PT CON INSTALACION;PT TEMPLADO;0,00%;ALUMINIOLOGO WEB;2026
#N/D;#N/D;0,00%;ALUMINIOLOGO WEB;2026
#N/D;TOLDOS: EXTENSIBLES Y VERTICALES;0,00%;ALUMINIOLOGO WEB;2026
#N/D;GENERAL;0,00%;ALUMINIOLOGO WEB;2026
#N/D;GRANEL;0,11%;ALUMINIOLOGO WEB;2026
#N/D;CONSUMIBLES PARA FABRICACION;0,00%;ALUMINIOLOGO WEB;2026
#N/D;MANTENIMIENTO DE INFRAESTRUCTURA;0,00%;ALUMINIOLOGO WEB;2026
#N/D;PAPELERIA;0,00%;ALUMINIOLOGO WEB;2026
#N/D;TEMPLADO Y MECANIZADO;0,00%;ALUMINIOLOGO WEB;2026
#N/D;ARTILUGIO CONTABLE;0,00%;ALUMINIOLOGO WEB;2026
PAPEL NANO.;PAPEL NANOCERAMICO;0,02%;ALUMINIOLOGO WEB;2026
MUESTRAS Y CATALOGOS;CATALOGOS;0,00%;ALUMINIOLOGO WEB;2026
MUESTRAS Y CATALOGOS;MUESTRAS Y CODOS;0,00%;ALUMINIOLOGO WEB;2026
CARPINTERIA;VITRINA PARA MUEBLES;0,00%;ALUMINIOLOGO WEB;2026
SERVICIOS EXTERNOS;CURRIER;0,00%;ALUMINIOLOGO WEB;2026
VENTANAS Y PUERTAS CORREDIZAS;VENTANA Y PUERTA PANORAMICA;0,91%;DISTRIBUIDORES;2026
VENTANAS Y PUERTAS CORREDIZAS;VENTANA Y PUERTA CARONI;0,00%;DISTRIBUIDORES;2026
VENTANAS Y PUERTAS CORREDIZAS;VENTANA BELGLASS;0,00%;DISTRIBUIDORES;2026
VENTANAS Y PUERTAS CORREDIZAS;VENTANA VISTAGLASS;0,00%;DISTRIBUIDORES;2026
VENTANAS Y PUERTAS CORREDIZAS;VENTANA Y PUERTA CORREDERA SERIE 1000;0,00%;DISTRIBUIDORES;2026
VENTANAS Y PUERTAS CORREDIZAS;PUERTA DE VITRINA;0,00%;DISTRIBUIDORES;2026
VENTANAS Y PUERTAS CORREDIZAS;VENTANA ECOBEL;0,00%;DISTRIBUIDORES;2026
VENTANAS Y PUERTAS CORREDIZAS;VENTANA Y PUERTA AMPLITUD;0,00%;DISTRIBUIDORES;2026
VENTANAS ABATIBLES;VENTANA PROYECTANTE COMERCIAL;0,00%;DISTRIBUIDORES;2026
VENTANAS ABATIBLES;VENTANA PROYECTANTE LONDON;0,00%;DISTRIBUIDORES;2026
VENTANAS ABATIBLES;VENTANA PIVOTANTE;0,00%;DISTRIBUIDORES;2026
VENTANAS ABATIBLES;PIVOTANTE;0,00%;DISTRIBUIDORES;2026
DIVISIONES DE AMBIENTE;PAÑO FIJO;0,00%;DISTRIBUIDORES;2026
DIVISIONES DE AMBIENTE;ROMANILLA;0,00%;DISTRIBUIDORES;2026
DIVISIONES DE AMBIENTE;ROMANILLAS;0,00%;DISTRIBUIDORES;2026
DIVISIONES DE AMBIENTE;CURTAIN WALL JUNTA POSITIVA Y JUNTA NEGATIVA;0,70%;DISTRIBUIDORES;2026
PERFILES ESTANDAR;ANGULOS Y PLETINAS;0,82%;DISTRIBUIDORES;2026
PERFILES ESTANDAR;TUBOS RECTANGULARES UES TES Y REMATES;1,25%;DISTRIBUIDORES;2026
PERFILES ESTANDAR;TUBOS CUADRADOS Y REDONDOS;0,70%;DISTRIBUIDORES;2026
PRODUCTOS ESTANDAR;VENTANAS ECO;0,00%;DISTRIBUIDORES;2026
PRODUCTOS ESTANDAR;ESPEJOS ECO;0,82%;DISTRIBUIDORES;2026
PRODUCTOS ESTANDAR;PUERTAS DE DUCHA ECO;0,00%;DISTRIBUIDORES;2026
PRODUCTOS ESTANDAR;PUERTAS ECO;0,00%;DISTRIBUIDORES;2026
PRODUCTOS ESTANDAR;PERSIANAS ECO;0,06%;DISTRIBUIDORES;2026
PRODUCTOS ESTANDAR;TOLDO ECO;0,00%;DISTRIBUIDORES;2026
PUERTAS EXTERIORES;PUERTA BATIENTE ENMARCADA;0,00%;DISTRIBUIDORES;2026
PUERTAS EXTERIORES;PUERTA BANCARIA TIPO P;6,20%;DISTRIBUIDORES;2026
PUERTAS EXTERIORES;VENTANA Y PUERTA SANARE;0,00%;DISTRIBUIDORES;2026
PUERTAS INTERIORES;SISTEMA PUERTA TODOVISION;0,00%;DISTRIBUIDORES;2026
PUERTAS INTERIORES;SISTEMA PUERTA PLEGABLE;0,00%;DISTRIBUIDORES;2026
PUERTAS INTERIORES;PLEGABLE;0,00%;DISTRIBUIDORES;2026
PUERTAS INTERIORES;SISTEMA PUERTA TODOVISION SUPERFICIAL;0,00%;DISTRIBUIDORES;2026
PUERTAS INTERIORES;SISTEMA PUERTA MINI EURO PIVOT;0,01%;DISTRIBUIDORES;2026
PUERTAS INTERIORES;SISTEMA PUERTA EURO PIVOT;0,00%;DISTRIBUIDORES;2026
BARANDAS;BARANDA BASTONES A PRESION;0,00%;DISTRIBUIDORES;2026
BARANDAS;BARANDA SEPARADORES;0,00%;DISTRIBUIDORES;2026
BARANDAS;BARANDA INOX;0,00%;DISTRIBUIDORES;2026
BARANDAS;BARANDA ZOCALO;0,00%;DISTRIBUIDORES;2026
BARANDAS;BARANDA BASTONES PERFORACION;0,00%;DISTRIBUIDORES;2026
PUERTAS DE BAÑO;PUERTA DE DUCHA  BATIENTE;0,12%;DISTRIBUIDORES;2026
PUERTAS DE BAÑO;TABIQUE DE BAÑOS MACHIMBRADO;0,00%;DISTRIBUIDORES;2026
PUERTAS DE BAÑO;PUERTA DE BAÑO TEMPLEX;0,05%;DISTRIBUIDORES;2026
PUERTAS DE BAÑO;PUERTA DE BAÑO ACRILICO;0,00%;DISTRIBUIDORES;2026
PUERTAS DE BAÑO;PUERTA DE DUCHA SLIDER TUBO RECTANGULAR;0,00%;DISTRIBUIDORES;2026
PUERTAS DE BAÑO;PUERTA SLIDER TUBO REDONDO;0,00%;DISTRIBUIDORES;2026
PUERTAS DE BAÑO;PUERTA DE DUCHA SLIDER TUBO RECTANGULAR PLUS;0,00%;DISTRIBUIDORES;2026
VIDRIOS;VIDRIO MONOLITICO;2,94%;DISTRIBUIDORES;2026
VIDRIOS;VIDRIO LAMINADO Y ESPECIALES;0,00%;DISTRIBUIDORES;2026
SIL Y SELL;SILICONES Y SELLADORES SIMBI;0,67%;DISTRIBUIDORES;2026
HERRAMIENTAS;HERRAMIENTAS HOTECHE;0,00%;DISTRIBUIDORES;2026
HERRAMIENTAS;HERRAMIENTAS HARDEN;0,00%;DISTRIBUIDORES;2026
HERRAMIENTAS;HERRAMIENTAS;0,00%;DISTRIBUIDORES;2026
IMPULSO;TORNILLOS Y RAMPLUGS;0,00%;DISTRIBUIDORES;2026
IMPULSO;REMACHES;0,00%;DISTRIBUIDORES;2026
IMPULSO;MECHAS Y PUNTAS;0,00%;DISTRIBUIDORES;2026
IMPULSO;SILICONES DE IMPULSO;0,00%;DISTRIBUIDORES;2026
IMPULSO;REGATONES;0,00%;DISTRIBUIDORES;2026
IMPULSO;SPRAY;0,00%;DISTRIBUIDORES;2026
CERRADURAS Y CANDADOS;CERRADURAS Y CANDADO;0,14%;DISTRIBUIDORES;2026
CERRADURAS Y CANDADOS;CERRADURAS Y CANDADO CISA;0,00%;DISTRIBUIDORES;2026
PERSIANAS Y MOSQUITEROS;PERSIANA ROLLER;47,51%;DISTRIBUIDORES;2026
PERSIANAS Y MOSQUITEROS;PERSIANA SHEER;14,74%;DISTRIBUIDORES;2026
PERSIANAS Y MOSQUITEROS;MOSQUITERO ROLLER - MOSQUITERO FIJO;1,55%;DISTRIBUIDORES;2026
PERSIANAS Y MOSQUITEROS;CORTINAS;0,00%;DISTRIBUIDORES;2026
PERSIANAS Y MOSQUITEROS;CORTINAS MOTORIZADAS: TRADICIONAL Y ONDA PERFECTA;0,00%;DISTRIBUIDORES;2026
PERSIANAS Y MOSQUITEROS;TOLDOS;0,00%;DISTRIBUIDORES;2026
LAMINAS;LÁMINAS DE POLICARBONATO;14,28%;DISTRIBUIDORES;2026
LAMINAS;DRYWALL;0,00%;DISTRIBUIDORES;2026
LAMINAS;LAMINAS DE ALUMINIO Y ALUCOBOND;1,06%;DISTRIBUIDORES;2026
LAMINAS;ILUMINACION;0,00%;DISTRIBUIDORES;2026
SERVICIOS;SERVICIO DE CANTO PULIDO;0,00%;DISTRIBUIDORES;2026
SERVICIOS;SERVICIO DE FLETE;1,42%;DISTRIBUIDORES;2026
SERVICIOS;SERVICIO DE CORTE Y MECANIZADO;0,00%;DISTRIBUIDORES;2026
SERVICIOS;CURRIER;0,00%;DISTRIBUIDORES;2026
SERVICIOS;PERFORACIONES DE VIDRIO;0,00%;DISTRIBUIDORES;2026
SERVICIOS;PERFORACIONES;0,00%;DISTRIBUIDORES;2026
PT CON INSTALACION;PT ALUMINIO Y VIDRIO;3,32%;DISTRIBUIDORES;2026
PT CON INSTALACION;PT PERSIANAS;0,69%;DISTRIBUIDORES;2026
PT CON INSTALACION;PT TEMPLADO;0,00%;DISTRIBUIDORES;2026
#N/D;#N/D;0,00%;DISTRIBUIDORES;2026
#N/D;TOLDOS: EXTENSIBLES Y VERTICALES;0,00%;DISTRIBUIDORES;2026
#N/D;GENERAL;0,00%;DISTRIBUIDORES;2026
#N/D;GRANEL;0,00%;DISTRIBUIDORES;2026
#N/D;CONSUMIBLES PARA FABRICACION;0,00%;DISTRIBUIDORES;2026
#N/D;MANTENIMIENTO DE INFRAESTRUCTURA;0,00%;DISTRIBUIDORES;2026
#N/D;PAPELERIA;0,00%;DISTRIBUIDORES;2026
#N/D;TEMPLADO Y MECANIZADO;0,00%;DISTRIBUIDORES;2026
#N/D;ARTILUGIO CONTABLE;0,00%;DISTRIBUIDORES;2026
PAPEL NANO.;PAPEL NANOCERAMICO;0,05%;DISTRIBUIDORES;2026
MUESTRAS Y CATALOGOS;CATALOGOS;0,00%;DISTRIBUIDORES;2026
MUESTRAS Y CATALOGOS;MUESTRAS Y CODOS;0,00%;DISTRIBUIDORES;2026
CARPINTERIA;VITRINA PARA MUEBLES;0,00%;DISTRIBUIDORES;2026
SERVICIOS EXTERNOS;CURRIER;0,00%;DISTRIBUIDORES;2026
